ste_name,Total Area (km2),Land Area (km2),Water Area Total (km2),Water Area Inland (km2),Water Area Coastal (km2),Water Area Great Lakes (km2),Water Area Territorial (km2),Population (2023),count_of_category_90078,count_of_category_90089,count_of_category_90331,count_of_category_90408,count_of_category_90541,count_of_category_90738,count_of_category_90749,count_of_category_90771,count_of_category_90804,count_of_category_90826,count_of_category_91256,count_of_category_91521,count_of_category_91523
Alabama,"135,767","131,171","4,597","2,740","1,340",0,516,"5,108,468",8483.0,2480.0,845.0,5608.0,3234.0,4798.0,4772.0,417.0,2997.0,2014.0,1652.0,174.0,1117.0
Alaska,"1,723,337","1,477,953","245,383","49,997","67,647",0,"127,739","733,406",979.0,176.0,156.0,975.0,220.0,870.0,316.0,73.0,171.0,584.0,215.0,79.0,224.0
Arizona,"295,234","294,207","1,026","1,026",0,0,0,"7,431,344",11817.0,1092.0,525.0,11981.0,3733.0,4726.0,5609.0,825.0,3199.0,3020.0,862.0,79.0,1614.0
Arkansas,"137,732","134,771","2,961","2,961",0,0,0,"3,067,732",5350.0,1224.0,640.0,3594.0,1860.0,2697.0,2647.0,228.0,1815.0,1543.0,1082.0,178.0,797.0
California,"423,967","403,466","20,501","7,339",634,0,"12,528","38,965,193",67765.0,6130.0,2631.0,44916.0,19185.0,33998.0,27326.0,4678.0,15985.0,14714.0,4430.0,550.0,10016.0
Colorado,"269,601","268,431","1,170","1,170",0,0,0,"5,877,610",10111.0,1486.0,683.0,7697.0,3438.0,4540.0,5281.0,620.0,2468.0,3985.0,988.0,215.0,2515.0
Connecticut,"14,357","12,542","1,816",443,"1,372",0,0,"3,617,176",5909.0,991.0,485.0,5447.0,1514.0,3525.0,3030.0,479.0,1824.0,1511.0,912.0,89.0,940.0
Delaware,"6,446","5,047","1,399",237,920,0,242,"1,031,890",1704.0,166.0,130.0,1341.0,523.0,972.0,875.0,170.0,527.0,450.0,143.0,42.0,278.0
District of Columbia,177,158,19,19,0,0,0,"678,972",416.0,62.0,109.0,1150.0,217.0,635.0,227.0,61.0,445.0,207.0,133.0,0.0,158.0
Florida,"170,312","138,887","31,424","13,019","3,495",0,"14,911","22,610,726",39304.0,4642.0,1555.0,30662.0,12508.0,18545.0,19752.0,3212.0,12392.0,13308.0,2530.0,1018.0,6562.0
Georgia,"153,910","148,959","4,951","3,657",119,0,"1,175","11,029,227",17767.0,4004.0,1388.0,13080.0,6520.0,8193.0,9555.0,1267.0,5134.0,3923.0,1876.0,269.0,2190.0
Hawaii,"28,313","16,635","11,678",109,23,0,"11,546","1,435,138",150.0,110.0,101.0,150.0,122.0,150.0,150.0,123.0,132.0,150.0,96.0,56.0,150.0
Idaho,"216,443","214,045","2,398","2,398",0,0,0,"1,964,726",3131.0,660.0,306.0,2234.0,1188.0,1688.0,1988.0,105.0,785.0,1407.0,368.0,113.0,848.0
Illinois,"149,995","143,793","6,202","2,124",0,"4,078",0,"12,549,689",19624.0,2739.0,1742.0,18018.0,6262.0,9793.0,9677.0,1172.0,5750.0,4364.0,2298.0,174.0,2782.0
Indiana,"94,326","92,789","1,537",935,0,602,0,"6,862,199",10596.0,2238.0,1004.0,9362.0,3366.0,5060.0,5825.0,609.0,3042.0,2641.0,1597.0,171.0,1455.0
Iowa,"145,746","144,669","1,077","1,077",0,0,0,"3,207,004",6415.0,943.0,737.0,4345.0,1495.0,2976.0,2986.0,171.0,1981.0,1576.0,1017.0,108.0,880.0
