geocode_ste_name,count_of_category_91521
['Alabama'],175
['Alaska'],80
['Arizona'],80
['Arkansas'],176
['California'],570
['Colorado'],217
['Connecticut'],88
['Delaware'],40
['Florida'],1029
['Georgia'],269
['Hawaii'],56
['Idaho'],114
['Illinois'],173
['Indiana'],175
['Iowa'],106
['Kansas'],92
['Kentucky'],143
['Louisiana'],227
['Maine'],119
['Maryland'],118
['Massachusetts'],198
['Michigan'],343
['Minnesota'],299
['Mississippi'],99
['Missouri'],192
['Montana'],174
['Nebraska'],47
['Nevada'],34
['New Hampshire'],60
['New Jersey'],176
['New Mexico'],46
['New York'],425
['North Carolina'],359
['North Dakota'],24
['Ohio'],293
['Oklahoma'],134
['Oregon'],167
['Pennsylvania'],394
['Rhode Island'],50
['South Carolina'],186
['South Dakota'],56
['Tennessee'],162
['Texas'],779
['Utah'],90
['Vermont'],37
['Virginia'],164
['Washington'],187
['West Virginia'],54
['Wisconsin'],371
['Wyoming'],61
